product_code,nombre,descripcion
CIP-0638,LYSOFORM AEROSOL 360CC - FRESCURA CITRICA,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - FRESCURA CITRICA, marca Lysoform, 360 cc."
CIP-0639,LYSOFORM AEROSOL 360CC - FRUTAL,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - FRUTAL, marca Lysoform, 360 cc."
CIP-0640,LYSOFORM AEROSOL 360CC - FRUTOS DEL BOSQUE,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - FRUTOS DEL BOSQUE, marca Lysoform, 360 cc."
CIP-0641,LYSOFORM AEROSOL 360CC - LAVANDA,"Aromatizante de ambientes LYSOFORM AEROSOL 360CC - LAVANDA, marca Lysoform, 360 cc."
CIP-0649,LYSOFORM LIQUIDO 420CC,"Desinfectante LYSOFORM LIQUIDO 420CC, marca Lysoform, 420 cc, línea Ciprés Limpieza, Villa Constitución."
CIP-0650,LYSOFORM MULTISUPERFICIES C/GATILLO,"Desinfectante LYSOFORM MULTISUPERFICIES C/GATILLO, marca Lysoform, línea Ciprés Limpieza, Villa Constitución."
CIP-0651,LYSOFORM MULTISUPERFICIES DP X 450,"Desinfectante LYSOFORM MULTISUPERFICIES DP X 450, marca Lysoform, línea Ciprés Limpieza, Villa Constitución."
CIP-0652,"MANGUERA FLOT VULCANO 1 1/2"" X MT (GRANDE)","Producto para pileta MANGUERA FLOT VULCANO 1 1/2"" X MT (GRANDE), marca Vulcano."
CIP-0653,"MANGUERA FLOT VULCANO 1 1/4"" X MT (MEDIANA)","Producto para pileta MANGUERA FLOT VULCANO 1 1/4"" X MT (MEDIANA), marca Vulcano."
CIP-0654,MANGUERA FLOT VULCANO 1 X MT (CHICA),"Producto para pileta MANGUERA FLOT VULCANO 1 X MT (CHICA), marca Vulcano."
CIP-0655,MANGUITO CON CLIP VULCANO,"Producto para pileta MANGUITO CON CLIP VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución."
CIP-0657,MULTIVALVULA 6 VIAS 1 1/2 C /BUJE VULCANO,"Producto para pileta MULTIVALVULA 6 VIAS 1 1/2 C /BUJE VULCANO, marca Vulcano."
CIP-0798,PERNO CORTO X 2 VULCANO,"Producto para pileta PERNO CORTO X 2 VULCANO, marca Vulcano."
CIP-0799,PERNO LARGO X 1 VULCANO,"Producto para pileta PERNO LARGO X 1 VULCANO, marca Vulcano."
CIP-0810,POETT DES. AMB AEROSOL 360CC - ALEGRA TU DIA,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - ALEGRA TU DIA, marca Poett, 360 cc."
CIP-0811,POETT DES. AMB AEROSOL 360CC - BEBE,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - BEBE, marca Poett, 360 cc."
CIP-0812,POETT DES. AMB AEROSOL 360CC - BOSQUE DE BAMBOO,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - BOSQUE DE BAMBOO, marca Poett, 360 cc."
CIP-0813,POETT DES. AMB AEROSOL 360CC - DESPERTAR DE ENERGIA,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - DESPERTAR DE ENERGIA, marca Poett, 360 cc."
CIP-0814,POETT DES. AMB AEROSOL 360CC - ESPIRITU PLAY,"Aromatizante de ambientes POETT DES. AMB AEROSOL 360CC - ESPIRITU PLAY, marca Poett, 360 cc."
