product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja,marca,precio_tiendanube,barcode
6046,Vitamina D3 50 Mcg Sundance 60 Capsulas Sin Sabor,7899.89,162,1,unidad,unidad,Suplementos,Nutricionales,Vitaminas y Minerales,,Vitamina D3 50 Mcg Sundance 60 Capsulas Sin Sabor|Sundance|Sundance Vitamina D3 50 Mcg 60 Capsulas Sin Sabor|6046|60 Capsulas,0.264,0.264,"Vitamina D3 50 Mcg Sundance 60 Capsulas Sin Sabor, nutricionales.",,true,false,tiendanube,Sundance,13166.49,840093102317
6045,Vitamina B12 500 Mcg Nature's Truth Vegano 120 Caps,16713.26,20,1,unidad,unidad,Suplementos,Nutricionales,Suplementos Alimenticios,,Vitamina B12 500 Mcg Nature's Truth Vegano 120 Caps|Nature's Truth|Nature's Truth Vitamina B12 500 Mcg Vegano 120 Caps|6045|vegano|vegana|plant based,0.279,0.279,"Vitamina B12 500 Mcg Nature's Truth Vegano 120 Caps, nutricionales.",,true,false,tiendanube,Nature's Truth,27855.44,840093106001
6043,Valeriana Nature's Truth 90 Cápsulas,19687.64,2,1,unidad,unidad,Suplementos,Nutricionales,Herbales,,Valeriana Nature's Truth 90 Cápsulas|Nature's Truth|Nature's Truth Valeriana 90 Cápsulas|6043|90 Cápsulas|vegano|vegana|plant based,0.279,0.279,"Valeriana Nature's Truth 90 Cápsulas, nutricionales, suplemento, presentación individual, marca Kiki.",,true,false,tiendanube,Nature's Truth,32812.74,840093101617
6037,Probiótico Acidophilus 500 Mill Cfu Nature's Truth 50 Cáp,20112.58,12,1,unidad,unidad,Suplementos,Nutricionales,Probióticos y Prebióticos,,Probiótico Acidophilus 500 Mill Cfu Nature's Truth 50 Cáp|Nature's Truth|Nature's Truth Probiótico Acidophilus 500 Mill Cfu 50 Cáp|6037|organico,0.279,0.279,"Probiótico Acidophilus 500 Mill Cfu Nature's Truth 50 Cáp, nutricionales.",,true,false,tiendanube,Nature's Truth,33520.96,840093101655
6036,Probioticos Prebiotico Natures Truth 50 Gomitas Ananá,33408.10,20,1,unidad,unidad,Suplementos,Nutricionales,Probióticos y Prebióticos,,Probioticos Prebiotico Natures Truth 50 Gomitas Ananá|Nature's Truth|Nature's Truth Probioticos Prebiotico Natures Truth 50 Gomitas Ananá|6036|50 G|vegano|vegana|plant based,0.279,0.279,"Probioticos Prebiotico Natures Truth 50 Gomitas Ananá, marca Nature's Truth, nutricionales.",,true,false,tiendanube,Nature's Truth,55680.17,840093115379
6047,Vitamina E 180 Mg Sundance 100 Capsulas Sabor Sin Sabor,19833.05,87,1,unidad,unidad,Suplementos,Nutricionales,Vitaminas y Minerales,,Vitamina E 180 Mg Sundance 100 Capsulas Sabor Sin Sabor|Sundance|Sundance Vitamina E 180 Mg 100 Capsulas Sabor Sin Sabor|6047|100 Capsulas,0.264,0.264,"Vitamina E 180 Mg Sundance 100 Capsulas Sabor Sin Sabor, nutricionales.",,true,false,tiendanube,Sundance,33055.09,840093102775
6042,Colageno Hidrolizado Tipo I & Iii Nature's Truth 90 Caps,22662.04,44,1,unidad,unidad,Suplementos,Nutricionales,Colágeno,,Colageno Hidrolizado Tipo I & Iii Nature's Truth 90 Caps|Nature's Truth|Nature's Truth Colageno Hidrolizado Tipo I & Iii 90 Caps|6042|vegano|vegana|plant based,0.279,0.279,"Colageno Hidrolizado Tipo I & Iii Nature's Truth 90 Caps, nutricionales.",,true,false,tiendanube,Nature's Truth,37770.07,840093101105
6041,Suplemento Sundance Curcumina 500mg Con Pimienta 120 Caps,23409.50,98,1,unidad,unidad,Suplementos,Nutricionales,Suplementos Alimenticios,,Suplemento Sundance Curcumina 500mg Con Pimienta 120 Caps|Sundance|Sundance Suplemento Curcumina 500mg Con Pimienta 120 Caps|6041|sin tacc|sin gluten|sin t.a.c.c.|vegano|vegana|plant based,0.264,0.264,"Suplemento Sundance Curcumina 500mg Con Pimienta 120 Caps, nutricionales, nutricionales.",,true,false,tiendanube,Sundance,39015.84,840093140258
6039,Magnesio Triple + D3 Y Zinc Nature's Truth 60 Cápsulas,24680.47,53,1,unidad,unidad,Suplementos,Nutricionales,Magnesio,,Magnesio Triple + D3 Y Zinc Nature's Truth 60 Cápsulas|Nature's Truth|Nature's Truth Magnesio Triple + D3 Y Zinc 60 Cápsulas|6039|60 Cápsulas,0.279,0.279,"Magnesio Triple + D3 Y Zinc Nature's Truth 60 Cápsulas, nutricionales.",,true,false,tiendanube,Nature's Truth,41134.12,840093126665
6035,Multivitamínico Sundance One Daily 60 Capsulas,10464.88,128,1,unidad,unidad,Suplementos,Nutricionales,Vitaminas y Minerales,,Multivitamínico Sundance One Daily 60 Capsulas|Sundance|Sundance Multivitamínico One Daily 60 Capsulas|6035|60 Capsulas,0.264,0.264,"Multivitamínico Sundance One Daily 60 Capsulas, nutricionales, nutricionales, presentación individual.",,true,false,tiendanube,Sundance,17441.47,840093106599
