lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
1,Lista única,1.0,1286,4817.78,false
1,Lista única,1.0,5208,6782.11,false
1,Lista única,1.0,5211,5945.04,false
1,Lista única,1.0,5210999,22687.38,false
1,Lista única,1.0,4683999,3320.54,false
1,Lista única,1.0,1248,7634.71,false
1,Lista única,1.0,1271,6471.65,false
1,Lista única,1.0,5601,4662.23,false
1,Lista única,1.0,1251,7728.00,false
1,Lista única,1.0,4563999,26097.18,false
1,Lista única,1.0,5587999,5690.91,false
1,Lista única,1.0,5586999,37317.96,false
1,Lista única,1.0,1595,3980.66,false
1,Lista única,1.0,5049,4758.24,false
1,Lista única,1.0,1437,2063.62,false
1,Lista única,1.0,5441,3668.23,false
1,Lista única,1.0,4561000,27967.08,false
1,Lista única,1.0,5565,15000.00,false
1,Lista única,1.0,1282999,7283.09,false
1,Lista única,1.0,5359,10958.17,false
1,Lista única,1.0,5309999,3828.35,false
1,Lista única,1.0,9999,8400.00,false
1,Lista única,1.0,5233,5929.45,false
1,Lista única,1.0,5025,8078.55,false
1,Lista única,1.0,5259,5238.48,false
1,Lista única,1.0,56,13800.00,false
1,Lista única,1.0,5467999,10500.00,false
1,Lista única,1.0,4593,8520.00,false
1,Lista única,1.0,4592999,4212.96,false
1,Lista única,1.0,1274,5157.34,false
1,Lista única,1.0,5434,3044.23,false
1,Lista única,1.0,4556999,22696.86,false
1,Lista única,1.0,4559999,27967.08,false
1,Lista única,1.0,5188,6950.66,false
1,Lista única,1.0,5397,9862.86,false
1,Lista única,1.0,109,7500.00,false
1,Lista única,1.0,4316,9300.00,false
1,Lista única,1.0,63,10200.00,false
1,Lista única,1.0,5343,8100.00,false
1,Lista única,1.0,3069,7620.00,false
1,Lista única,1.0,4623999,8100.00,false
1,Lista única,1.0,2619,9000.00,false
1,Lista única,1.0,5341,110372.40,false
1,Lista única,1.0,5328,15404.94,false
1,Lista única,1.0,5325,9623.83,false
1,Lista única,1.0,5324,7752.81,false
1,Lista única,1.0,46,4740.00,false
1,Lista única,1.0,4489,13500.00,false
1,Lista única,1.0,5304999,5340.00,false
1,Lista única,1.0,2848999,5400.00,false
1,Lista única,1.0,59,7800.00,false
1,Lista única,1.0,303999,9180.00,false
1,Lista única,1.0,5293,9072.12,false
1,Lista única,1.0,5290,24708.90,false
1,Lista única,1.0,5291,48424.20,false
1,Lista única,1.0,1779,5415.12,false
1,Lista única,1.0,2500,3473.00,false
1,Lista única,1.0,5277,46188.60,false
1,Lista única,1.0,5257999,16877.40,false
1,Lista única,1.0,5024,9148.94,false
1,Lista única,1.0,5232,3515.91,false
1,Lista única,1.0,5213000,48806.46,false
1,Lista única,1.0,4558999,22696.86,false
1,Lista única,1.0,5029,2896.52,false
1,Lista única,1.0,2761,14609.23,false
