codigo_producto,nombre,descripcion_original,descripcion_mejorada,brand,alias_locales
1242,MICKY PASTA UNTABLE FRUTILLA 4 KG,"Insumo de repostería MICKY PASTA UNTABLE FRUTILLA 4 KG, marca MAPSA, 4 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE FRUTILLA 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1257,MICKY PASTA UNTABLE FRUTILLA X 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE FRUTILLA X 450 GRS, marca MAPSA, 450 GRS.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE FRUTILLA X 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2896,MICKY PASTA UNTABLE FRUTILLA X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE FRUTILLA X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE FRUTILLA X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1244,MICKY PASTA UNTABLE MANI 4 KG,"Insumo de repostería MICKY PASTA UNTABLE MANI 4 KG, marca MAPSA, 4 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE MANI 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2785,MICKY PASTA UNTABLE MANI X 10 KG,"Insumo de repostería MICKY PASTA UNTABLE MANI X 10 KG, marca MAPSA, 10 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE MANI X 10 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1261,MICKY PASTA UNTABLE MANI X 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE MANI X 450 GRS, marca MAPSA, 450 GRS.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE MANI X 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2897,MICKY PASTA UNTABLE MANI X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE MANI X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE MANI X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1246,MICKY PASTA UNTABLE MENTA 4 KG,"Insumo de repostería MICKY PASTA UNTABLE MENTA 4 KG, marca MAPSA, 4 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE MENTA 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1259,MICKY PASTA UNTABLE MENTA X 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE MENTA X 450 GRS, marca MAPSA, 450 GRS.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE MENTA X 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2898,MICKY PASTA UNTABLE MENTA X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE MENTA X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE MENTA X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2869,MICKY PASTA UNTABLE PISTACHO 4 KG,"Insumo de repostería MICKY PASTA UNTABLE PISTACHO 4 KG, marca MAPSA, 4 KG.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE PISTACHO 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2876,MICKY PASTA UNTABLE PISTACHO 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE PISTACHO 450 GRS, marca MAPSA, 450 GRS.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE PISTACHO 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2899,MICKY PASTA UNTABLE PISTACHO X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE PISTACHO X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE PISTACHO X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1258,MICKY PASTA UNTABLE TIRAMISU X 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE TIRAMISU X 450 GRS, marca MAPSA, 450 GRS.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE TIRAMISU X 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2900,MICKY PASTA UNTABLE TIRAMISU X CAJA 6U 450 GRS,"Insumo de repostería MICKY PASTA UNTABLE TIRAMISU X CAJA 6U 450 GRS, marca MAPSA, 450 GRS, x6 unidades.",Pasta saborizante para helados o repostería: MICKY PASTA UNTABLE TIRAMISU X CAJA 6U 450 GRS. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1228,MOUSSE DE CHOCOLATE P/ DECORACION Y RELLENO X 1 KG,"Insumo de repostería MOUSSE DE CHOCOLATE P/ DECORACION Y RELLENO X 1 KG, marca MAPSA, 1 KG.",Chocolate / cobertura: MOUSSE DE CHOCOLATE P/ DECORACION Y RELLENO X 1 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2883,MOUSSE DE CHOCOLATE P/ DECORACION Y RELLENO X CAJA 4 KG,"Insumo de repostería MOUSSE DE CHOCOLATE P/ DECORACION Y RELLENO X CAJA 4 KG, marca MAPSA, 4 KG.",Chocolate / cobertura: MOUSSE DE CHOCOLATE P/ DECORACION Y RELLENO X CAJA 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1230,MOUSSE DE DULCE DE LECHE P/ DECORACION Y RELLENO X 1 KG,"Insumo de repostería MOUSSE DE DULCE DE LECHE P/ DECORACION Y RELLENO X 1 KG, marca MAPSA, 1 KG.",Mousse / base para helados: MOUSSE DE DULCE DE LECHE P/ DECORACION Y RELLENO X 1 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2884,MOUSSE DE DULCE DE LECHE P/ DECORACION Y RELLENO X CAJA 4 KG,"Insumo de repostería MOUSSE DE DULCE DE LECHE P/ DECORACION Y RELLENO X CAJA 4 KG, marca MAPSA, 4 KG.",Mousse / base para helados: MOUSSE DE DULCE DE LECHE P/ DECORACION Y RELLENO X CAJA 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1224,MOUSSE DE FRUTILLA P/DECORACION Y RELLENO X 1 KG,"Insumo de repostería MOUSSE DE FRUTILLA P/DECORACION Y RELLENO X 1 KG, marca MAPSA, 1 KG.",Mousse / base para helados: MOUSSE DE FRUTILLA P/DECORACION Y RELLENO X 1 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2885,MOUSSE DE FRUTILLA P/DECORACION Y RELLENO X CAJA X 4 KG,"Insumo de repostería MOUSSE DE FRUTILLA P/DECORACION Y RELLENO X CAJA X 4 KG, marca MAPSA, 4 KG.",Mousse / base para helados: MOUSSE DE FRUTILLA P/DECORACION Y RELLENO X CAJA X 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
1226,MOUSSE DE VAINILLA P/ DECORACION Y RELLENO X 1 KG,"Insumo de repostería MOUSSE DE VAINILLA P/ DECORACION Y RELLENO X 1 KG, marca MAPSA, 1 KG.",Mousse / base para helados: MOUSSE DE VAINILLA P/ DECORACION Y RELLENO X 1 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
2887,MOUSSE DE VAINILLA P/ DECORACION Y RELLENO X CAJA 4 KG,"Insumo de repostería MOUSSE DE VAINILLA P/ DECORACION Y RELLENO X CAJA 4 KG, marca MAPSA, 4 KG.",Mousse / base para helados: MOUSSE DE VAINILLA P/ DECORACION Y RELLENO X CAJA 4 KG. Marca MAPSA. Categoría: REPOSTERIA / INSUMOS P/REPOSTERÍA. Venta mayorista para heladerías y pastelerías.,MAPSA,
