pedido_ref,mes,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,line_total,cantidad_lineas_origen,is_mock
ERP-MARZO-100049,marzo,100049,10160,POMELO ROSADO 500 ML PLACER,1.0,5884.30,5884.30,1,false
ERP-MARZO-100049,marzo,100049,305,MANZANA 500ml X12 PLACER,3.0,5884.30,17652.90,1,false
ERP-MARZO-100049,marzo,100049,316,AGUA 600ml X12 VILLA MANAOS,5.0,4553.72,22768.60,1,false
ERP-MARZO-100066,marzo,100066,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100066,marzo,100066,316,AGUA 600ml X12 VILLA MANAOS,4.0,4553.72,18214.88,1,false
ERP-MARZO-100066,marzo,100066,318,AGUA 2 lts. X6 VILLA MANAOS,27.0,3809.92,102867.84,1,false
ERP-MARZO-100073,marzo,100073,10109,BIZCOCHO AZUCARADO 1X180GRS GAONA,10.0,619.84,6198.40,1,false
ERP-MARZO-100073,marzo,100073,10135,VALENCIANO PEPAS 1X150GRS,10.0,545.46,5454.60,1,false
ERP-MARZO-100073,marzo,100073,301,POMELO BLANCO 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100073,marzo,100073,315,SODA SIFON 2 lts. X6 MANAOS,1.0,7966.94,7966.94,1,false
ERP-MARZO-100073,marzo,100073,316,AGUA 600ml X12 VILLA MANAOS,1.0,4553.72,4553.72,1,false
ERP-MARZO-100073,marzo,100073,318,AGUA 2 lts. X6 VILLA MANAOS,1.0,3809.92,3809.92,1,false
ERP-MARZO-100073,marzo,100073,436,PALITOS SALADO 5X150G OVNI,1.0,4297.52,4297.52,1,false
ERP-MARZO-100076,marzo,100076,316,AGUA 600ml X12 VILLA MANAOS,2.0,4553.72,9107.44,1,false
ERP-MARZO-100076,marzo,100076,321,MANZANA 1 LITRO  PINDAPOY,1.0,9008.26,9008.26,1,false
ERP-MARZO-100076,marzo,100076,322,MULTIFRUTA 1 LITRO X8 PINDAPOY,1.0,9008.26,9008.26,1,false
ERP-MARZO-100076,marzo,100076,346,MULTIFRUTA 200 CC X18 PINDAPOY,1.0,5719.01,5719.01,1,false
ERP-MARZO-100076,marzo,100076,356,AGUA EL SANO CORAZON ARGENTINO 1.5 LTS. X 6 S/GAS,1.0,3644.63,3644.63,1,false
ERP-MARZO-100076,marzo,100076,379,DURAZNO 200 CC X18 PINDAPOY,1.0,5719.01,5719.01,1,false
ERP-MARZO-100076,marzo,100076,380,DURAZNO 1 LITRO PINDAPOY,1.0,9008.26,9008.26,1,false
ERP-MARZO-100083,marzo,100083,289,COLA 2.25 lts. X 6 MANAOS,5.0,8239.67,41198.35,1,false
ERP-MARZO-100083,marzo,100083,292,POMELO BLANCO 2.25 LTS. X 6 MANAOS,3.0,7917.36,23752.08,1,false
ERP-MARZO-100083,marzo,100083,293,MANZANA 2.25 LTS. X 6  MANAOS,2.0,7285.12,14570.24,1,false
ERP-MARZO-100083,marzo,100083,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100083,marzo,100083,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
