codigo,codigo_secundario,descripcion_larga,division,rubro,um_ventas,cant_minima_venta,um_compras,um_precio_sugerido,bu_un,bu_di,di_un,un_bu,hi_bu,pa_hi,pa_bu
0226,0226,493 - M.DAM.CUY LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0227,0227,494 - M.DUR.CUY LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0228,0228,473 - M.FRU.CUY LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0229,0229,499 - M.NAR.CUY LIGHT 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0230,0230,313 - JAL.MEMBRILLO LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0231,0231,(360)JALEA MEMBRILLOS * 454 GR,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,126
0232,0232,460 - JAL. MEMBRILLO 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0233,0233,461 - JALEA MEMBRILLO 12X908,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0234,0234,(383)JALEA MEMBRILLOS BC * 390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,140
0235,0235,483 - JAL.MEMBRIL.BC 24X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0236,0236,DULCE DE LECHE LIBRE GLUTEN 12X450 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,15,,120
0237,0237,475 - DULCE DE LECHE 24X450,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0238,0238,DULCE DE LECHE LIBRE GLUTENE 12X840 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,20,,60
0239,0239,477 - DUL.DE LECHE BC 24X450,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0240,0240,002 - TOMATE PEL.IMP 24X400,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0241,0241,TOMATE PEL.PERIT.ENT LC 2X12X400 GR,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,1,BU,UN,24,24,1,0.041666667,8,,88
0242,0242,650 - TOM.PELADO 24X400 4X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0244,0244,008 - TOMATE PEL. 48X400,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,48,48,1,0.020833333,1,,1
0245,0245,SALSATI TOMATE PEL.PER 24X 400 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,8,,88
0246,0246,651 - SALSATI TOM.24X400 4X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0247,0247,029 - SALSATI TOM. 48X400,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,48,48,1,0.020833333,1,,1
0248,0248,(051)SALSATI CUBETTI 2X12X400 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,8,,88
0249,0249,652 - SALSATI CUB 24X400 4X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0254,0254,028 - SALSATI CUB. 48X400,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,48,48,1,0.020833333,1,,1
0255,0255,"016 - TOM.TRITURADO 6X2,900",ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0256,0256,EXTRACTO TRIPLE TOM. LIB GLU 24X180 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0257,0257,658 - EXT.TRIPLE 24X180 4X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0258,0258,027 - EXT.SIMPLE L/V 24X145,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0259,0259,659 - EXT SIMP LV 24X145 4X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0265,0265,018 - EXT.SIMPLE CUY 24X145,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0266,0266,660 - EX SIMP LCY 24X145 4X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0267,0267,065 - SAL.CONDIPIZZA 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0268,0268,656 - SAL.CONDIP 12X350 2X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0269,0269,067 - SAL.CONDIPIZZA 24X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0271,0271,062 - SALSA POMAROLA 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0272,0272,655 - S.POMAROLA 12X350 2X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0273,0273,063 - SALSA POMAROLA 24X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0274,0274,068 - SAL.VINO BLANCO 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0281,0281,657 - SAL VINO B.12X350 2X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0282,0282,069 - SAL.VINO BLANCO 24X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0283,0283,060 - SAL. PARMESANA 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0284,0284,654 - S.PARMESANA 12X350 2X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0285,0285,061 - SAL. PARMESANA 24X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0286,0286,052 - SALSA FILETTO 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0287,0287,653 - SAL.FILETTO 12X350 2X6,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0288,0288,059 - SALSA FILETTO 24X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0289,0289,055 - SALSA AI FUNGHI 12X350,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
